time,v, gamma, altitude, skin_temp
6.550000000000000000e+01,2.025839601375669645e+03,1.404669084168806537e+00,3.508598094670551654e+04,3.231749644595550990e+02
6.560000000000000853e+01,2.024906882278078456e+03,1.405932124956770890e+00,3.509218076954524440e+04,3.231899980546793927e+02
6.570000000000000284e+01,2.023975682417423059e+03,1.407192368307089492e+00,3.509835866834768240e+04,3.232049974626023641e+02
6.579999999999999716e+01,2.023045994774716291e+03,1.408449829206485759e+00,3.510451452183954825e+04,3.232199628655455399e+02
6.590000000000000568e+01,2.022117812382966349e+03,1.409704522508296476e+00,3.511064821211667731e+04,3.232348944443180017e+02
6.600000000000000000e+01,2.021191128327175875e+03,1.410956462932472455e+00,3.511675962464401528e+04,3.232497923783159877e+02
6.610000000000000853e+01,2.020265935744341732e+03,1.412205665065577875e+00,3.512284864825564000e+04,3.232646568455231773e+02
6.620000000000000284e+01,2.019342227823455687e+03,1.413452143360790725e+00,3.512891517515475425e+04,3.232794880225105203e+02
6.629999999999999716e+01,2.018419997805503726e+03,1.414695912137902800e+00,3.513495910091368569e+04,3.232942860844363508e+02
6.640000000000000568e+01,2.017499238983466512e+03,1.415936985583320151e+00,3.514098032447387959e+04,3.233090512050463303e+02
6.650000000000000000e+01,2.016579944702319608e+03,1.417175377750061083e+00,3.514697874814590614e+04,3.233237835566733906e+02
6.660000000000000853e+01,2.015662108359032118e+03,1.418411102557759262e+00,3.515295427760946041e+04,3.233384833102377911e+02
6.670000000000000284e+01,2.014745723402568728e+03,1.419644173792660613e+00,3.515890682191335509e+04,3.233531506352472888e+02
6.679999999999999716e+01,2.013830783333888121e+03,1.420874605107625976e+00,3.516483629347554233e+04,3.233677856997967410e+02
6.690000000000000568e+01,2.012917281705943651e+03,1.422102410022129337e+00,3.517074260808307736e+04,3.233823886705684458e+02
6.700000000000000000e+01,2.012005212123683123e+03,1.423327601922258268e+00,3.517662568489215482e+04,3.233969597128321425e+02
6.710000000000000853e+01,2.011094568244049015e+03,1.424550194060714370e+00,3.518248544642807974e+04,3.234114989904446702e+02
6.720000000000000284e+01,2.010185343775978481e+03,1.425770199556812612e+00,3.518832181858528929e+04,3.234260066658503661e+02
6.729999999999999716e+01,2.009277532480402670e+03,1.426987631396481992e+00,3.519413473062733829e+04,3.234404829000808945e+02
6.740000000000000568e+01,2.008371128170247403e+03,1.428202502432265097e+00,3.519992411518690642e+04,3.234549278527551337e+02
6.750000000000000000e+01,2.007466124710433860e+03,1.429414825383318322e+00,3.520568990826580557e+04,3.234693416820794027e+02
6.760000000000000853e+01,2.006562516017876533e+03,1.430624612835411869e+00,3.521143204923495796e+04,3.234837245448473482e+02
6.770000000000000284e+01,2.005660296061485496e+03,1.431831877240928863e+00,3.521715048083441070e+04,3.234980765964398302e+02
6.779999999999999716e+01,2.004759458862164820e+03,1.433036630918867127e+00,3.522284514917334309e+04,3.235123979908252636e+02
6.790000000000000568e+01,2.003859998492812792e+03,1.434238886054837847e+00,3.522851600373005203e+04,3.235266888805591634e+02
6.800000000000000000e+01,2.002961909078323288e+03,1.435438654701065575e+00,3.523416299735195935e+04,3.235409494167845423e+02
6.810000000000000853e+01,2.002065184795583264e+03,1.436635948776389560e+00,3.523978608625560446e+04,3.235551797492315700e+02
6.820000000000000284e+01,2.001169819873475717e+03,1.437830780066261083e+00,3.524538523002666625e+04,3.235693800262179707e+02
6.829999999999999716e+01,2.000275808592877411e+03,1.439023160222747011e+00,3.525096039161991939e+04,3.235835503946486256e+02
6.840000000000000568e+01,1.999383145286659101e+03,1.440213100764526688e+00,3.525651153735928528e+04,3.235976910000158000e+02
6.850000000000000000e+01,1.998491824339687355e+03,1.441400613076893489e+00,3.526203863693780295e+04,3.236118019863991435e+02
6.860000000000000853e+01,1.997601840188822280e+03,1.442585708411754597e+00,3.526754166341762902e+04,3.236258834964655193e+02
6.870000000000000284e+01,1.996713187322919111e+03,1.443768397887630783e+00,3.527302059323005233e+04,3.236399356714692885e+02
6.879999999999999716e+01,1.995825860282827080e+03,1.444948692489656406e+00,3.527847540617547929e+04,3.236539586512519122e+02
6.890000000000000568e+01,1.994939853661390316e+03,1.446126603069580518e+00,3.528390608542344125e+04,3.236679525742424630e+02
6.900000000000000000e+01,1.994055162103447401e+03,1.447302140345763988e+00,3.528931261751258717e+04,3.236819175774571136e+02
6.910000000000000853e+01,1.993171780305831362e+03,1.448475314903183486e+00,3.529469499235069088e+04,3.236958537964994775e+02
6.920000000000000284e+01,1.992289703017370357e+03,1.449646137193427498e+00,3.530005320321466570e+04,3.237097613655604391e+02
6.929999999999999716e+01,1.991408925038885855e+03,1.450814617534699869e+00,3.530538724675052799e+04,3.237236404174183804e+02
6.940000000000000568e+01,1.990529441223194908e+03,1.451980766111816923e+00,3.531069712297342630e+04,3.237374910834387265e+02
